theta_dir_prior,pi_dir_prior,dir_prior_multiplier,accuracy
4,512,10,0.9021804360872174
4,512,50,0.9021804360872174
4,512,100,0.9021804360872174
4,512,500,0.9021804360872174
4,512,1000,0.9021804360872174
4,1024,0,0.8981796359271854
4,1024,1,0.8981796359271854
4,1024,10,0.8981796359271854
4,1024,50,0.8981796359271854
4,1024,100,0.8981796359271854
4,1024,500,0.8981796359271854
4,1024,1000,0.8981796359271854
8,1.0001,0,0.9149829965993198
8,1.0001,1,0.9149829965993198
8,1.0001,10,0.9149829965993198
8,1.0001,50,0.9149829965993198
8,1.0001,100,0.9149829965993198
8,1.0001,500,0.9149829965993198
8,1.0001,1000,0.9149829965993198
8,2,0,0.914382876575315
8,2,1,0.914382876575315
8,2,10,0.914382876575315
8,2,50,0.914382876575315
8,2,100,0.914382876575315
8,2,500,0.914382876575315
8,2,1000,0.914382876575315
8,4,0,0.9141828365673135
8,4,1,0.9141828365673135
8,4,10,0.9141828365673135
8,4,50,0.9141828365673135
8,4,100,0.9141828365673135
8,4,500,0.9141828365673135
8,4,1000,0.9141828365673135
8,8,0,0.9129825965193039
8,8,1,0.9129825965193039
8,8,10,0.9129825965193039
8,8,50,0.9129825965193039
8,8,100,0.9129825965193039
8,8,500,0.9129825965193039
8,8,1000,0.9129825965193039
8,16,0,0.9121824364872975
8,16,1,0.9121824364872975
8,16,10,0.9121824364872975
8,16,50,0.9121824364872975
8,16,100,0.9121824364872975
8,16,500,0.9121824364872975
8,16,1000,0.9121824364872975
8,32,0,0.9117823564712942
8,32,1,0.9117823564712942
8,32,10,0.9117823564712942
8,32,50,0.9117823564712942
8,32,100,0.9117823564712942
8,32,500,0.9117823564712942
8,32,1000,0.9117823564712942
8,64,0,0.909381876375275
8,64,1,0.909381876375275
8,64,10,0.909381876375275
8,64,50,0.909381876375275
8,64,100,0.909381876375275
8,64,500,0.909381876375275
8,64,1000,0.909381876375275
8,128,0,0.9041808361672334
8,128,1,0.9041808361672334
8,128,10,0.9041808361672334
8,128,50,0.9041808361672334
8,128,100,0.9041808361672334
8,128,500,0.9041808361672334
8,128,1000,0.9041808361672334
8,256,0,0.8991798359671934
8,256,1,0.8991798359671934
8,256,10,0.8991798359671934
8,256,50,0.8991798359671934
8,256,100,0.8991798359671934
8,256,500,0.8991798359671934
8,256,1000,0.8991798359671934
8,512,0,0.8963792758551711
8,512,1,0.8963792758551711
8,512,10,0.8963792758551711
8,512,50,0.8963792758551711
8,512,100,0.8963792758551711
8,512,500,0.8963792758551711
8,512,1000,0.8963792758551711
8,1024,0,0.8939787957591518
8,1024,1,0.8939787957591518
8,1024,10,0.8939787957591518
8,1024,50,0.8939787957591518
8,1024,100,0.8939787957591518
8,1024,500,0.8939787957591518
8,1024,1000,0.8939787957591518
16,1.0001,0,0.9115823164632927
16,1.0001,1,0.9115823164632927
16,1.0001,10,0.9115823164632927
16,1.0001,50,0.9115823164632927
16,1.0001,100,0.9115823164632927
16,1.0001,500,0.9115823164632927
16,1.0001,1000,0.9115823164632927
16,2,0,0.911382276455291
16,2,1,0.911382276455291
16,2,10,0.911382276455291
16,2,50,0.911382276455291
16,2,100,0.911382276455291
16,2,500,0.911382276455291
16,2,1000,0.911382276455291
16,4,0,0.9111822364472895
16,4,1,0.9111822364472895
16,4,10,0.9111822364472895
16,4,50,0.9111822364472895
16,4,100,0.9111822364472895
16,4,500,0.9111822364472895
16,4,1000,0.9111822364472895
16,8,0,0.9105821164232847
16,8,1,0.9105821164232847
16,8,10,0.9105821164232847
16,8,50,0.9105821164232847
16,8,100,0.9105821164232847
16,8,500,0.9105821164232847
16,8,1000,0.9105821164232847
16,16,0,0.9099819963992799
16,16,1,0.9099819963992799
16,16,10,0.9099819963992799
16,16,50,0.9099819963992799
16,16,100,0.9099819963992799
16,16,500,0.9099819963992799
16,16,1000,0.9099819963992799
